point_id,point_type,name,block_id,area,lat,lon,demand_value,demand_date,food_type,quantity_lbs,estimated_meals,available_from,available_until,frequency,data_status,source_file,notes
demand_PARK_BL_J_ST,demand,PARK_BL_J_ST,PARK_BL_J_ST,East Village,32.7087234,-117.1540298,26.5,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_PARK_BL_MARKET_ST,demand,PARK_BL_MARKET_ST,PARK_BL_MARKET_ST,East Village,32.7109863,-117.1541961,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_PARK_BL_RUSS_BL,demand,PARK_BL_RUSS_BL,PARK_BL_RUSS_BL,City Center,32.7191273,-117.1542576,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_SAMPSON_ST_I-5_SB,demand,SAMPSON_ST_I-5_SB,SAMPSON_ST_I-5_SB,Outside Perimeter,32.6988236,-117.1399161,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_SAMPSON_ST_LOGAN_AV,demand,SAMPSON_ST_LOGAN_AV,SAMPSON_ST_LOGAN_AV,Outside Perimeter,32.6981952,-117.1405284,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_SAMPSON_ST_MAIN_ST,demand,SAMPSON_ST_MAIN_ST,SAMPSON_ST_MAIN_ST,Outside Perimeter,32.6958054,-117.1429084,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_SAMPSON_ST_NATIONAL_AV,demand,SAMPSON_ST_NATIONAL_AV,SAMPSON_ST_NATIONAL_AV,Outside Perimeter,32.6973907,-117.1413145,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_SAMPSON_ST_NEWTON_AV,demand,SAMPSON_ST_NEWTON_AV,SAMPSON_ST_NEWTON_AV,Outside Perimeter,32.6965799,-117.1420955,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_SIGSBEE_ST_LOGAN_AV,demand,SIGSBEE_ST_LOGAN_AV,SIGSBEE_ST_LOGAN_AV,Outside Perimeter,32.7039621,-117.1488413,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_SIGSBEE_ST_NATIONAL_AV,demand,SIGSBEE_ST_NATIONAL_AV,SIGSBEE_ST_NATIONAL_AV,Outside Perimeter,32.7031432,-117.1496165,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_SR-163_NB_ON_RA_ASH_ST,demand,SR-163_NB_ON_RA_ASH_ST,SR-163_NB_ON_RA_ASH_ST,Cortez,32.7193915,-117.1552592,2.75,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
